ds,yhat
2017-08-28,5573.591565071758
2017-08-29,5481.8913042583745
2017-08-30,6227.031873845251
2017-08-31,5374.330280497508
2017-09-01,6834.360204336918
2017-09-02,8744.592508568396
2017-09-03,8645.746810462007
2017-09-04,5569.721591845159
2017-09-05,5504.012239177332
2017-09-06,6292.431607585322
2017-09-07,5499.564131834026
2017-09-08,7034.682445594392
2017-09-09,9033.415964029133
2017-09-10,9034.146627890863
2017-09-11,6065.998206072288
2017-09-12,6113.327023089289
2017-09-13,7016.526779675015
2017-09-14,6336.576212987017
2017-09-15,7979.055993428709
2017-09-16,10075.921532301973
2017-09-17,10162.003979174511
2017-09-18,7263.1028305071395
2017-09-19,7360.575069766107
2017-09-20,8292.230673723301
2017-09-21,7616.960593278034
2017-09-22,9238.821239017112
2017-09-23,11288.860119992778
2017-09-24,11301.653289694563
2017-09-25,8303.41684586761
2017-09-26,8276.596715298627
2017-09-27,9060.746378209597
2017-09-28,8217.118977270915
2017-09-29,9652.698688647119
2017-09-30,11501.957340168032
2017-10-01,17153.71703563616
2017-10-02,8087.125030349559
2017-10-03,7840.222227797756
2017-10-04,9279.405575608112
2017-10-05,7352.0532377423615
2017-10-06,8587.820688975426
2017-10-07,10252.497183392064
2017-10-08,9888.247710677857
2017-10-09,6528.753094608089
2017-10-10,6163.609296651528
2017-10-11,6639.022001904118
2017-10-12,5522.227970873775
2017-10-13,6725.372749997288
2017-10-14,8387.13498472912
2017-10-15,8049.073461496372
2017-10-16,4743.564320894006
2017-10-17,4458.237446565728
2017-10-18,5036.725900622848
2017-10-19,4043.158390117447
2017-10-20,5386.122404226188
2017-10-21,7200.3859127268315
2017-10-22,7023.351063996792
2017-10-23,3883.1043777485356
2017-10-24,3762.969312436578
2017-10-25,4502.371864658269
2017-10-26,3661.4459721899298
2017-10-27,5145.103238612393
2017-10-28,7084.851927140033
2017-10-29,7015.3359805634755
2017-10-30,3962.456217859122
2017-10-31,3907.9776456147383
2017-11-01,4690.432056895857
2017-11-02,3869.741703082788
2017-11-03,5351.2880969301905
2017-11-04,7267.710973186789
2017-11-05,7155.408778570219
2017-11-06,4042.603974751994
2017-11-07,3913.8787112736336
2017-11-08,4610.99209939813
2017-11-09,3697.4073118495985
2017-11-10,5082.255317694207
2017-11-11,6902.023263623692
2017-11-12,6696.942007296037
2017-11-13,3498.939280934534
2017-11-14,3296.067206774154
2017-11-15,3933.2184411810717
2017-11-16,2976.5620133242473
2017-11-17,4337.428224151068
2017-11-18,6153.932817115287
2017-11-19,5967.316709049079
2017-11-20,2809.8690749787065
2017-11-21,2669.3433208840247
2017-11-22,3389.6805088788265
2017-11-23,2535.4710560967287
2017-11-24,4015.8833051135366
2017-11-25,5966.347908546393
2017-11-26,5924.972583925653
2017-11-27,2920.5528867968633
2017-11-28,2937.0860388372053
2017-11-29,3814.5995975174656
2017-11-30,3113.722810343265
2017-12-01,4739.726156457332
2017-12-02,6824.314894986382
2017-12-03,6902.148112506663
2017-12-04,3998.9459999756054
2017-12-05,4096.089705978173
2017-12-06,5031.523165786884
2017-12-07,4364.382731525998
2017-12-08,5999.078512901755
2017-12-09,8067.112122668197
2017-12-10,8103.601691802586
2017-12-11,5135.376770731169
2017-12-12,5145.547863951346
2017-12-13,5974.360899184217
2017-12-14,5183.763830966674
2017-12-15,6681.41109551483
2017-12-16,8602.392797535647
2017-12-17,8485.661996588862
2017-12-18,5362.025455747097
2017-12-19,5218.605511769648
2017-12-20,5899.586362027477
2017-12-21,4970.674960251063
2017-12-22,6343.00514343467
2017-12-23,8154.77460870271
2017-12-24,7947.590602238978
2017-12-25,4754.391865604498
2017-12-26,4563.856309798246
2017-12-27,5221.109103946836
2017-12-28,4292.162306557237
2017-12-29,5687.815119042011
2017-12-30,7545.304349931606
2017-12-31,7404.680438627679
2018-01-01,12612.954227311735
2018-01-02,4207.672193393469
2018-01-03,4979.484071647297
2018-01-04,4174.8801219160505
2018-01-05,5701.07645252616
2018-01-06,7691.584337796009
2018-01-07,7682.68649268924
2018-01-08,4701.505470793009
2018-01-09,4730.569497405966
2018-01-10,5608.685985953414
2018-01-11,4895.5492752327345
2018-01-12,6495.80705548219
2018-01-13,8540.870569047165
2018-01-14,8565.439666672042
2018-01-15,5595.605371256031
2018-01-16,5613.43455228099
2018-01-17,6457.846691552574
2018-01-18,5689.209453247455
2018-01-19,7213.378133469988
2018-01-20,9163.465090667449
2018-01-21,9076.311626643259
2018-01-22,5980.5266867505115
2018-01-23,5860.998972217691
2018-01-24,6559.694646970482
2018-01-25,5640.169697915378
2018-01-26,7011.524444102182
2018-01-27,8810.088718614648
2018-01-28,8575.812546986192
2018-01-29,5340.228908688275
2018-01-30,5090.897193188156
2018-01-31,5672.141296722798
2018-02-01,4649.512879200359
2018-02-02,5933.708396470085
2018-02-03,7662.229183292495
2018-02-04,7375.759778212632
2018-02-05,4106.131056011466
2018-02-06,3840.77637814234
2018-02-07,4423.493944264245
2018-02-08,3418.9447701080144
2018-02-09,4736.6135200864
2018-02-10,6512.519838968112
2018-02-11,6285.653552949225
2018-02-12,3085.998355066353
2018-02-13,2899.0501672475275
2018-02-14,3566.641341575284
2018-02-15,2651.498165563927
2018-02-16,3524.0961240286733
2018-02-17,5930.225460092669
2018-02-18,5795.859292848702
2018-02-19,2686.820540774647
2018-02-20,2587.520183687707
2018-02-21,3338.9571699832104
2018-02-22,2503.2806782147354
2018-02-23,3987.8012047159336
